Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.43888888888888894;0.4680061264890495
ssn-REGNET;truck;2.0;0.43415637860082307;0.49938660499951393
ssn-REGNET;bus;2.0;0.4351851851851852;0.5333333333333333
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9555312390821038
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9979423868312759;0.8916900866329819
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.997956968811945
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8666666666666668;0.6777777777777779
