Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7222222222222223;0.7307097188803408
ssn-REGNET;truck;2.0;0.9938271604938275;0.9883607219443307
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9333333333333337
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.6777777777777779;0.7934703798364018
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
