Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.24062551440329216;0.11065885257911666
ssn-REGNET;truck;2.0;0.9938271604938275;0.9222222222222224
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9444444444444446
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.6777777777777779;0.6662581368303871
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.13333333333333333;0.12175405833543904
