Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6892407318333243;0.5598964599251296
ssn-REGNET;truck;2.0;1.0000000000000004;0.9999788482345907
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.4444444444444445;0.9192426641582191
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9999671971307776
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.19999999999999998;0.23797044449792645
