Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5482588231183002;0.5232444131151394
ssn-REGNET;truck;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9555555555555557
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.7753086419753088;0.9139077020656488
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.044444444444444446;0.044429343177784034
