Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.03407407407407407;0.05316724363498843
ssn-REGNET;truck;2.0;0.9938271604938275;0.9896049110909686
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.985852073289239
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.6777777777777779;0.6478937492287687
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.791247494658465
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
