Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.3866255144032922;0.3855893644110994
ssn-REGNET;truck;2.0;0.9938271604938275;0.9915434495722556
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9555555555555557
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.4444444444444445;0.4227936502458145
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.977777777777778
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.11111111111111112;0.12937336293915244
