Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7405035770464545;0.7540493838898263
ssn-REGNET;truck;2.0;0.4444444444444445;0.4257744858182647
ssn-REGNET;bus;2.0;1.0000000000000004;0.971198696787225
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.5111111111111112;0.5222222222222223
ssn-REGNET;motorcycle;2.0;0.022222222222222223;0.033331831678889506
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
