Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.25205761316872427;0.16532564729581642
ssn-REGNET;truck;2.0;0.9938271604938275;0.993158339487277
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.7454834501901125
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.9992575026036465
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.011111111111111112;0.030821165311596822
