Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.41033274544385656;0.2482147103755917
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.6222222222222222;0.5777777777777778
ssn-REGNET;pedestrian;2.0;0.7222222222222223;0.5111111111111112
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.24443241008582237
ssn-REGNET;barrier;2.0;0.45097736625514406;0.4857622606463663
