Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6058471487360376;0.3945588859826997
ssn-REGNET;truck;2.0;0.43621399176954734;0.0408638792728631
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.43827160493827155;0.4666666666666666
ssn-REGNET;pedestrian;2.0;0.0;0.12211433737570386
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.022222222222222223;0.03333333333333333
ssn-REGNET;barrier;2.0;0.2555555555555556;0.2868708410000363
