Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6228413376746711;0.520674362734944
ssn-REGNET;truck;2.0;1.0000000000000004;0.535723562237067
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.8372427983539094;0.6871415411027375
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.2555555555555556;0.2333333333333333
ssn-REGNET;traffic_cone;2.0;0.022962962962962963;0.01100373603639539
ssn-REGNET;barrier;2.0;0.10226337448559668;0.06026306510086551
