Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;1.0000000000000004;0.9862091960175859
ssn-REGNET;truck;2.0;0.43827160493827155;0.32902348346874555
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.4444444444444445;0.48708519290006125
ssn-REGNET;pedestrian;2.0;0.22222222222222224;0.16666666666666666
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.4444444444444445;0.5325708560362634
