Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8505778463648836;0.8307062317453883
ssn-REGNET;truck;2.0;0.6222222222222222;0.720432861284272
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.3358024691358025;0.2146293057302082
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.2555555555555556;0.2509072093853912
ssn-REGNET;traffic_cone;2.0;0.10785390946502058;0.11865514847003714
ssn-REGNET;barrier;2.0;0.0;0.0
