Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.9216390358612584;0.8853734519085783
ssn-REGNET;truck;2.0;1.0000000000000004;0.9936763060147549
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.8666666666666668;0.8444358906316167
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.2555555555555556;0.16666666666666666
