Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5524691358024691;0.0
ssn-REGNET;truck;2.0;0.996913580246914;0.9331665101353147
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.11111111111111112;0.08888888888888889
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.4444444444444445;0.43333333333333335
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.02362962962962963;0.08021298579380527
