Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.35555555555555557;0.32886286026214123
ssn-REGNET;truck;2.0;0.6314814814814815;0.7714469098729477
ssn-REGNET;bus;2.0;1.0000000000000004;0.9738164430055261
ssn-REGNET;trailer;2.0;1.0000000000000004;0.742427070037993
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.8333333333333335;0.8333333333333335
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.011111111111111112;0.0
