Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7888888888888891;0.7992986451999642
ssn-REGNET;truck;2.0;0.43827160493827155;0.4666666666666666
ssn-REGNET;bus;2.0;1.0000000000000004;0.9902485411578371
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.5349093293537739;0.5125966838719792
ssn-REGNET;motorcycle;2.0;0.022222222222222223;0.022222222222222223
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
