Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.9168611111111112;0.9189817340132482
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.1161769547325103;0.15620072561809312
ssn-REGNET;motorcycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.977777777777778
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.7165246423672349;0.7413413924684907
