Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8113209876543209;0.9938258405284075
ssn-REGNET;truck;2.0;1.0000000000000004;0.9999199983229372
ssn-REGNET;bus;2.0;1.0000000000000004;0.96529592905908
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.8222222222222223
ssn-REGNET;pedestrian;2.0;0.5;0.5438542593919805
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.099320987654321;0.04331433594680648
