Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.9885646860709432;0.9893442394819688
ssn-REGNET;truck;2.0;0.43827160493827155;0.4311240125827653
ssn-REGNET;bus;2.0;1.0000000000000004;0.9956182393083636
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.39543352395204245;0.4763773651514847
ssn-REGNET;motorcycle;2.0;0.16666666666666666;0.16664074292868256
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
