Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name car; dist_th 0.5; max tp 43377.0; max fp 129413.0; min fn 9666.0; max tp_pred_crit 27849.856272472316; max tp_gt_crit 27806.02627226854; max fp_pred_crit 60836.13174703892; min fn_gt_crit 4250.118788872507
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name car; dist_th 1.0; max tp 49078.0; max fp 123712.0; min fn 3965.0; max tp_pred_crit 30482.766359459798; max tp_gt_crit 30486.476591598934; max fp_pred_crit 58203.221660051306; min fn_gt_crit 1617.2087018850543
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name car; dist_th 2.0; max tp 51071.0; max fp 121719.0; min fn 1972.0; max tp_pred_crit 31309.241055892067; max tp_gt_crit 31318.282817444142; max fp_pred_crit 57376.74696361882; min fn_gt_crit 790.7340054527631
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name car; dist_th 4.0; max tp 51666.0; max fp 121124.0; min fn 1377.0; max tp_pred_crit 31547.07368158062; max tp_gt_crit 31556.261726098084; max fp_pred_crit 57138.91433793023; min fn_gt_crit 552.901379764211
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 0.5; max tp 5767.0; max fp 60240.0; min fn 3493.0; max tp_pred_crit 3470.5019625835557; max tp_gt_crit 3461.259323337831; max fp_pred_crit 28658.685685603254; min fn_gt_crit 1734.7604211662124
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 1.0; max tp 7467.0; max fp 58540.0; min fn 1793.0; max tp_pred_crit 4326.48342895018; max tp_gt_crit 4326.098236305808; max fp_pred_crit 27802.704219236664; min fn_gt_crit 878.778954799579
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 2.0; max tp 8325.0; max fp 57682.0; min fn 935.0; max tp_pred_crit 4771.832582045662; max tp_gt_crit 4751.6712596913185; max fp_pred_crit 27357.355066141266; min fn_gt_crit 433.4298017040983
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 4.0; max tp 8693.0; max fp 57314.0; min fn 567.0; max tp_pred_crit 4932.833714647494; max tp_gt_crit 4924.552055734777; max fp_pred_crit 27196.353933539456; min fn_gt_crit 272.4286691022744
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 0.5; max tp 1182.0; max fp 11743.0; min fn 880.0; max tp_pred_crit 707.6221511200949; max tp_gt_crit 701.4834127723325; max fp_pred_crit 5796.167068606484; min fn_gt_crit 361.0618266025266
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 1.0; max tp 1625.0; max fp 11300.0; min fn 437.0; max tp_pred_crit 909.7028998898118; max tp_gt_crit 905.9054366770907; max fp_pred_crit 5594.086319836762; min fn_gt_crit 158.98107783281023
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 2.0; max tp 1899.0; max fp 11026.0; min fn 163.0; max tp_pred_crit 1008.8063735452688; max tp_gt_crit 1009.8206198515131; max fp_pred_crit 5494.982846181301; min fn_gt_crit 59.87760417735217
